Name,Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)"
Light gray,0.0,0.0,83.0
Light grayish magenta,300.0,33.0,70.0
Light green,120.0,73.0,75.0
Light hot pink,326.0,100.0,85.0
Light khaki,54.0,77.0,75.0
Light medium orchid,309.0,39.0,72.0
Light moss green,120.0,44.0,78.0
Light orchid,315.0,55.0,78.0
Light pastel purple,261.0,45.0,73.0
Light pink,351.0,100.0,86.0
Light red ochre,14.0,78.0,62.0
Light salmon,17.0,100.0,74.0
Light salmon pink,0.0,100.0,80.0
Light sea green,177.0,70.0,41.0
Light sky blue,203.0,92.0,75.0
Light slate gray,210.0,14.0,53.0
Light steel blue,214.0,41.0,78.0
Light taupe,26.0,32.0,56.0
Light Thulian pink,340.0,64.0,73.0
Light yellow,60.0,100.0,94.0
Lilac,300.0,26.0,71.0
Lilac Luster,311.0,12.0,64.0
Lime (color wheel),75.0,100.0,50.0
Lime (web) (X11 green),120.0,100.0,50.0
Lime green,120.0,61.0,50.0
Limerick,72.0,91.0,40.0
Lincoln green,106.0,89.0,18.0
Linen,30.0,67.0,94.0
Loeen(lopen)look/vomit+indogo+Lopen+Gabriel,33.0,41.0,63.0
Liseran Purple,333.0,63.0,65.0
Little boy blue,212.0,62.0,64.0
Liver,9.0,18.0,34.0
Liver (dogs),29.0,64.0,44.0
Liver (organ),12.0,55.0,27.0
Liver chestnut,27.0,28.0,47.0
Livid,210.0,50.0,60.0
Lumber,28.0,100.0,90.0
Lust,0.0,80.0,51.0
Maastricht Blue,212.0,100.0,12.0
Macaroni and Cheese,27.0,100.0,77.0
Madder Lake,359.0,60.0,50.0
Magenta,300.0,100.0,50.0
Magenta (Crayola),332.0,100.0,67.0
Magenta (dye),328.0,73.0,46.0
Magenta (Pantone),334.0,60.0,54.0
Magenta (process),326.0,100.0,50.0
Magenta haze,327.0,39.0,45.0
Magenta-pink,325.0,60.0,50.0
Magic mint,153.0,70.0,80.0
Magic Potion,349.0,100.0,63.0
Magnolia,262.0,100.0,98.0
Mahogany,20.0,100.0,38.0
Maize,54.0,95.0,67.0
Majorelle Blue,247.0,67.0,59.0
Malachite,140.0,90.0,45.0
Manatee,231.0,10.0,63.0
Mandarin,18.0,88.0,62.0
Mango Tango,20.0,100.0,63.0
Mantis,110.0,44.0,58.0
Mardi Gras,301.0,100.0,27.0
Marigold,39.0,83.0,52.0
Maroon (Crayola),346.0,71.0,45.0
Maroon (HTML/CSS),0.0,100.0,25.0
Maroon (X11),338.0,57.0,44.0
Mauve,276.0,100.0,85.0
Mauve taupe,343.0,21.0,47.0
Mauvelous,348.0,73.0,77.0
Maximum Blue,195.0,57.0,54.0
Maximum Blue Green,180.0,60.0,47.0
Maximum Blue Purple,240.0,54.0,79.0
Maximum Green,90.0,48.0,37.0
Maximum Green Yellow,65.0,75.0,61.0
Maximum Purple,290.0,43.0,35.0
Maximum Red,0.0,74.0,49.0
Maximum Red Purple,325.0,48.0,44.0
Maximum Yellow,60.0,95.0,60.0
Maximum Yellow Red,40.0,87.0,62.0
May green,112.0,38.0,41.0
Maya blue,205.0,94.0,72.0
Meat brown,44.0,77.0,56.0
Medium aquamarine,154.0,64.0,63.0
Medium blue,240.0,100.0,40.0
Medium candy apple red,350.0,95.0,45.0
Medium carmine,5.0,54.0,45.0
Medium champagne,48.0,75.0,81.0
Medium electric blue,209.0,96.0,30.0
Medium jungle green,161.0,31.0,16.0
Medium lavender magenta,300.0,47.0,75.0
Medium orchid,288.0,59.0,58.0
Medium Persian blue,203.0,100.0,32.0
Medium purple,260.0,60.0,65.0
Medium red-violet,324.0,57.0,47.0
Medium ruby,337.0,45.0,46.0
Medium sea green,147.0,50.0,47.0
Medium sky blue,190.0,73.0,71.0
Medium slate blue,249.0,80.0,67.0
Medium spring bud,73.0,55.0,70.0
Medium spring green,157.0,100.0,49.0
