Name,Hue (degrees)
Rich black (FOGRA29),207.0
Rich black (FOGRA39),210.0
Rich brilliant lavender,291.0
Rich carmine,342.0
Rich electric blue,199.0
Rich lavender,276.0
Rich lilac,284.0
Rich maroon,338.0
Rifle green,84.0
Roast coffee,1.0
Robin egg blue,180.0
Rocket metallic,355.0
Roman silver,221.0
Rose,330.0
Rose bonbon,330.0
Rose Dust,344.0
Rose ebony,4.0
Rose gold,351.0
Rose madder,355.0
Rose pink,320.0
Rose quartz,303.0
Rose red,340.0
Rose taupe,0.0
Rose vale,357.0
Rosewood,353.0
Rosso corsa,0.0
Rosy brown,0.0
Royal azure,220.0
Royal blue,219.0
Royal blue,225.0
Royal fuchsia,321.0
Royal purple,267.0
Royal yellow,48.0
Ruber,339.0
Rubine red,335.0
Ruby,337.0
Ruby red,354.0
Ruddy,351.0
Ruddy brown,25.0
Ruddy pink,354.0
Rufous,8.0
Russet,26.0
Russian green,120.0
Russian violet,270.0
Rust,18.0
Rusty red,352.0
Sacramento State green,164.0
Saddle brown,25.0
Safety orange,28.0
Safety orange (blaze orange),24.0
Safety yellow,53.0
Saffron,45.0
Sage,55.0
St. Patrick's blue,236.0
Salmon,6.0
Salmon pink,350.0
Sand,45.0
Sand dune,43.0
Sandstorm,52.0
Sandy brown,28.0
Sandy Tan,30.0
Sandy taupe,43.0
Sangria,356.0
Sap green,93.0
Sapphire,216.0
Sapphire blue,203.0
Sasquatch Socks,341.0
Satin sheen gold,43.0
Scarlet,8.0
Scarlet,350.0
Schauss pink,344.0
School bus yellow,51.0
Screamin' Green,120.0
Sea blue,197.0
Sea Foam Green,149.0
Sea green,146.0
Sea Serpent,184.0
Seal brown,0.0
Seashell,25.0
Selective yellow,44.0
Sepia,30.0
Shadow,37.0
Shadow blue,214.0
Shampoo,318.0
Shamrock green,156.0
Sheen Green,80.0
Shimmering Blush,349.0
Shiny Shamrock,141.0
Shocking pink,315.0
Shocking pink (Crayola),300.0
Sienna,12.0
Silver,0.0
Silver chalice,0.0
Silver Lake blue,212.0
Silver pink,3.0
Silver sand,200.0
Sinopia,17.0
Sizzling Red,351.0
Sizzling Sunrise,52.0
Skobeloff,180.0
Sky blue,197.0
Sky magenta,320.0
Slate blue,248.0
Slate gray,210.0
Smalt (Dark powder blue),220.0
Slimy Green,111.0
Smashed Pumpkin,16.0
Smitten,329.0
Smoke,132.0
Smokey Topaz,15.0
Smoky black,30.0
Smoky Topaz,357.0
Snow,0.0
Soap,249.0
Solid pink,352.0
Sonic silver,0.0
Spartan Crimson,359.0
Space cadet,226.0
Spanish bistre,52.0
Spanish blue,203.0
Spanish carmine,340.0
Spanish crimson,345.0
Spanish gray,0.0
Spanish green,153.0
Spanish orange,25.0
Spanish pink,1.0
Spanish red,350.0
Spanish sky blue,180.0
Spanish violet,264.0
Spanish viridian,163.0
Spicy mix,17.0
Spiro Disco Ball,195.0
Spring bud,80.0
Spring Frost,94.0
Spring green,150.0
Star command blue,200.0
Steel blue,207.0
Steel pink,300.0
Steel Teal,181.0
Stil de grain yellow,48.0
Stizza,0.0
Stormcloud,189.0
Straw,54.0
Strawberry,341.0
Sugar Plum,325.0
Sunburnt Cyclops,356.0
Sunglow,45.0
Sunny,60.0
Sunray,36.0
Sunset,35.0
Sunset orange,4.0
Super pink,323.0
Sweet Brown,3.0
Tan,34.0
Tangelo,19.0
Tangerine,33.0
Tangerine yellow,48.0
Tango pink,355.0
Tart Orange,2.0
Taupe,27.0
Taupe gray,320.0
Tea green,100.0
Tea rose,5.0
Tea rose,0.0
Teal,180.0
Teal blue,194.0
Teal deer,140.0
Teal green,179.0
Telemagenta,334.0
Tenné (tawny),25.0
Terra cotta,10.0
Thistle,300.0
Thulian pink,333.0
Tickle Me Pink,342.0
Tiffany Blue,178.0
Tiger's eye,30.0
Timberwolf,33.0
Titanium yellow,58.0
Tomato,9.0
Toolbox,246.0
Topaz,35.0
Tractor red,350.0
Trolley Grey,0.0
Tropical rain forest,168.0
Tropical violet,282.0
True Blue,207.0
Tufts Blue,210.0
Tulip,357.0
Tumbleweed,24.0
Turkish rose,347.0
Turquoise,174.0
Turquoise blue,176.0
Turquoise green,142.0
Turquoise Surf,182.0
Turtle green,75.0
Tuscan,35.0
Tuscan brown,25.0
Tuscan red,0.0
Tuscan tan,26.0
Tuscany,0.0
Twilight lavender,329.0
Tyrian purple,325.0
UA blue,222.0
UA red,339.0
Ube,253.0
UCLA Blue,221.0
UCLA Gold,42.0
UFO Green,141.0
Ultramarine,244.0
Ultramarine blue,228.0
Ultra pink,300.0
Ultra red,350.0
Umber,21.0
Unbleached silk,22.0
United Nations blue,216.0
University of California Gold,40.0
Unmellow yellow,60.0
UP Forest green,149.0
UP Maroon,359.0
Upsdell red,356.0
Urobilin,44.0
USAFA blue,209.0
USC Cardinal,0.0
USC Gold,48.0
University of Tennessee Orange,31.0
Utah Crimson,342.0
Van Dyke Brown,25.0
Vanilla,48.0
Vanilla ice,344.0
Vegas gold,50.0
Venetian red,356.0
Verdigris,177.0
Vermilion,5.0
Vermilion,8.0
Veronica,277.0
Very light azure,208.0
Very light blue,240.0
Very light malachite green,135.0
Very light tangelo,25.0
Very pale orange,30.0
Very pale yellow,60.0
Violet,274.0
Violet (color wheel),270.0
Violet (RYB),286.0
Violet (web),300.0
Violet-blue,229.0
Violet-red,336.0
Viridian,161.0
Viridian green,181.0
Vista blue,218.0
Vivid amber,45.0
Vivid auburn,2.0
Vivid burgundy,349.0
Vivid cerise,328.0
Vivid cerulean,197.0
Vivid crimson,345.0
Vivid gamboge,36.0
Vivid lime green,74.0
Vivid malachite,135.0
Vivid mulberry,288.0
Vivid orange,22.0
Vivid orange peel,18.0
Vivid orchid,288.0
Vivid raspberry,335.0
Vivid red,357.0
Vivid red-tangelo,20.0
Vivid sky blue,192.0
Vivid tangelo,23.0
Vivid tangerine,12.0
Vivid vermilion,19.0
Vivid violet,277.0
Vivid yellow,53.0
Volt,72.0
Wageningen Green,120.0
Warm black,180.0
Waterspout,184.0
Weldon Blue,204.0
Wenge,7.0
Wheat,39.0
White,0.0
White smoke,0.0
Wild blue yonder,226.0
Wild orchid,330.0
Wild Strawberry,329.0
